,data,description,cluster
1636,5%,5%,0
1559,5–15%,5–15%,0
1560,global population,global population,0
1631,631 patients,631 patients,0
1565,influenzarelated illnesses,influenzarelated illnesses,0
1566,data,data,0
1567,industrialised countries,industrialised countries,0
1568,highrisk populations,highrisk populations,0
1569,infants,infants,0
1574,major genetic changes,major genetic changes,0
1642,29%,29%,0
1578,genetic segments,genetic segments,0
1581,factory farm,factory farm,0
1626,united kingdom investigation,united kingdom investigation,0
1582,north carolina,north carolina,0
1589,lining,lining,0
1592,common bacteria,taxon,0
1594,nose throat lungs,nose throat lungs,0
1595,subsequent pandemics,subsequent pandemics,0
1597,development,development,0
1598,antibiotic medicines,antibiotic medicines,0
1604,certain underlying medical conditions,certain underlying medical conditions,0
1605,increased risk,increased risk,0
1606,symptom onset,symptom onset,0
1611,intensive care unit,intensive care unit,0
1619,lung injury,lung injury,0
1627,risk factors,risk factors,0
1540,shortages,shortages,0
1534,oseltamivir,chemical compound neuraminidase inhibitor medication essential medicine,0
1533,hospitalised patients,hospitalised patients,0
1688,general practitioners,general practitioners,0
1459,1 100 children,1 100 children,0
1460,7 500 adults,7 500 adults,0
1463,discovery,discovery,0
1470,nancy cox,nancy cox,0
1472,particular paper,particular paper,0
1477,situation,situation,0
1486,households,households,0
1679,genetic code,genetic code,0
1488,injections,injections,0
1673,nonessential travel,nonessential travel,0
1494,officials,officials,0
1496,contingency plans,contingency plans,0
1670,27 april,27 april,0
1499,surges,surges,0
1668,cheetah,cheetah,0
1501,potentially widespread outbreaks,potentially widespread outbreaks,0
1531,start,start,0
1652,h1n1associated myocarditis,h1n1associated myocarditis,0
1528,h1n1caused illness,h1n1caused illness,0
1523,preexisting underlying medical conditions,preexisting underlying medical conditions,0
1522,ones,ones,0
1521,medical attention,medical attention,0
1447,nature,nature,0
1517,ibuprofen,ibuprofen,0
1514,thecounter,thecounter,0
1513,adequate liquid intake,adequate liquid intake,0
1662,transmissions,transmissions,0
1664,animals,animals,0
1666,household cats,household cats,0
1503,direct relief,direct relief,0
1516,thecounter pain medications,thecounter pain medications,0
1771,frank critical transparent credible independent review,frank critical transparent credible independent review,0
1282,moist cold climate,moist cold climate,0
1278,blanket ban,blanket ban,0
1099,veterinary laboratories agency,veterinary laboratories agency,0
1102,1 500 birds,1 500 birds,0
1105,3 protection zone,3 protection zone,0
1107,restricted zone,restricted zone,0
1851,quarantine,quarantine,0
1849,disagreement,disagreement,0
1112,nearby farmers,nearby farmers,0
1119,hospital,hospital,0
1843,face masks,face masks,0
1124,permission,permission,0
1125,production,production,0
1132,turkey waste,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
1133,roosts,roosts,0
1136,turkey houses,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
1096,farm,farm,0
1138,defra minister jeff rooker,defra minister jeff rooker,0
1838,persons,persons,0
1142,hungarian connection,hungarian connection,0
1144,semiprocessed turkey meat,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
1145,hungary,sovereign state country,0
1149,hungarian connection.bernard matthews,hungarian connection.bernard matthews,0
1835,peak,peak,0
1151,partly processed turkey meat,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
1152,weekly basis,weekly basis,0
1153,hungarian connection.bernard matthews saga foods company,hungarian connection.bernard matthews saga foods company,0
1154,sárvár,town hungary,0
1159,whitehall,whitehall,0
1829,plans,plans,0
1161,biosecurity,type security,0
1164,britain,britain,0
1839,seven days,seven days,0
1095,defra,defra,0
1088,turkeys,turkeys,0
1857,teachers,teachers,0
1017,indian population,indian population,0
1020,villagers,villagers,0
1022,maharashtra state animal husbandry ministry authorities,state indiataxon,0
1024,lab analysis,lab analysis,0
1025,poultry,organisms known particular common,0
1879,term,term,0
1877,common,common,0
1030,observation,observation,0
1032,150 persons,150 persons,0
1033,national institute,national institute,0
1034,analysis,analysis,0
1035,movement,movement,0
1036,passenger trains,passenger trains,0
1037,state governments,state governments,0
1039,jammu,jammu,0
1045,indian army,indian army,0
1870,47 airline passengers,47 airline passengers,0
1858,teachers hotel rooms,teachers hotel rooms,0
1069,centre,centre,0
1068,state central governments,state central governments,0
1065,kingfisher airlines,kingfisher airlines,0
1064,indian airlines,indian airlines,0
1863,240 guests,240 guests,0
1165,9 february,9 february,0
1063,jet airways,jet airways,0
1061,airlines,airlines,0
1059,hundreds millions,hundreds millions,0
1057,mutton,mutton,0
1867,egyptian muslims,egyptian muslims,0
1054,prices,prices,0
1048,drugdistribution measures,drugdistribution measures,0
1062,air india,dominion british empire sovereign state historical country,0
1827,video,video,0
1166,hungarian authorities,hungarian authorities,0
1169,suffolk hungarian outbreaks,suffolk hungarian outbreaks,0
1797,major changes,major changes,0
1796,u.s. airlines,u.s. airlines,0
1232,union members,union members,0
1233,state benefits,state benefits,0
1793,closing borders,closing borders,0
1792,effect,effect,0
1234,laidoff workers,laidoff workers,0
1791,containment,containment,0
1235,row,row,0
1238,hens,hens,0
1239,toms,toms,0
1789,travel precautions,travel precautions,0
1786,decisions,decisions,0
1241,event,event,0
1244,subtype,subtype,0
1248,type,type,0
1249,causative agent,causative agent,0
1276,imposition,imposition,0
1275,poultry birds,organisms known particular common,0
1773,fiona godlee,fiona godlee,0
1774,margaret chan,margaret chan,0
1274,eggs,eggs,0
1269,bankura,municipality west bengal big city,0
1231,union funds,union funds,0
1267,cooch behar,cooch behar,0
1265,burdwan,municipality west bengal big city,0
1264,murshidabad,municipality west bengal,0
1262,birbhum,district india,0
1259,southeastern hungary,sovereign state country,0
1258,corresponding incidence,corresponding incidence,0
1254,privately owned quarantine facility,privately owned quarantine facility,0
1266,hooghly,hooghly,0
308,1557 parts,1557 parts,0
1799,passengers,passengers,0
1229,general workers union general workers union paidout,general workers union general workers union paidout,0
1170,turkey products,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
1174,hungary link,sovereign state country,0
1177,99.96%,99.96%,0
1179,leak,leak,0
1187,contaminated poultry farming tools,organisms known particular common,0
1189,product,product,0
1195,information,information,0
1200,hungarian turkey products,sovereign state transcontinental country mediterranean country country social state regional power secular state,0
1815,u.s. government officials,u.s. government officials,0
1203,lengthening list,lengthening list,0
1205,poultry products,organisms known particular common,0
1207,spokesman,spokesman,0
1813,effective method,effective method,0
1811,airports,airports,0
1209,british poultry council,organisms known particular common,0
1210,exports,exports,0
1212,level,level,0
1801,airline crews,airline crews,0
1802,nonu.s. airlines,nonu.s. airlines,0
1803,singapore airlines,emoji regional indicator sequence,0
1804,china eastern airlines,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",0
1225,product sales,product sales,0
1223,130 workers,130 workers,0
1800,masks,masks,0
1222,company,company,0
1219,consumer confidence,consumer confidence,0
1806,cathay pacific,cathay pacific,0
1218,biggest ongoing surveys,biggest ongoing surveys,0
1214,supermarket sales,supermarket sales,0
1808,measures,measures,0
1213,domestic sales,domestic sales,0
1221,respected trusted brand,respected trusted brand,0
2148,iupac,learned society publisher,0
1617,strongest risk factors,strongest risk factors,0
167,ottoman empire,ottoman empire,0
226,french physicians,french physicians,0
2234,3coordinated carbon sites,3coordinated carbon sites,0
117,antigenic shift,antigenic shift,0
176,merchant ships,merchant ships,0
2279,adamantane derivative,chemical compound,0
2210,1.756 ppm,1.756 ppm,0
227,historian françois eudes mézeray,historian françois eudes mézeray,0
285,eventually americas,eventually americas,0
104,oily lintus,oily lintus,0
2176,cell,cell,0
174,italy,italy,0
106,decoctions,decoctions,0
2197,corresponding values,corresponding values,0
108,justus hecker,justus hecker,0
126,modern epidemiologists,modern epidemiologists,0
287,thomas short,thomas short,0
2183,properties,properties,0
2164,electron diffraction,electron diffraction,0
274,gastrodynia,gastrodynia,0
62,voice,voice,0
2154,adamantane analogues,chemical compound,0
2277,pure adamantane,chemical compound,0
205,louis xii,louis xii,0
180,holy roman empire,holy roman empire,0
2161,naturally occurring organoarsenic analogue,naturally occurring organoarsenic analogue,0
2256,hydrolysis,hydrolysis,0
46,mediterranean,mediterranean,0
2155,molecules,molecules,0
161,cities,cities,0
192,holy roman empire upper kingdoms,holy roman empire upper kingdoms,0
132,tommasino bianchi,tommasino bianchi,0
2232,bridgehead atoms,bridgehead atoms,0
77,ships,ships,0
2175,ordered primitive tetragonal phase,ordered primitive tetragonal phase,0
225,cephalie catarrhal,cephalie catarrhal,0
202,royal assembly,royal assembly,0
34,operum medicorum tombus primus,operum medicorum tombus primus,0
239,historian jean bouchet,historian jean bouchet,0
125,1510 coqueluche,1510 coqueluche,0
61,hoarseness,hoarseness,0
109,john parkin,john parkin,0
2209,13c nmr chemical shifts,13c nmr chemical shifts,0
2271,nitrogensubstituted drug amantadine,chemical compound medication,0
56,church services,church services,0
272,previous medical historians data hasfound,previous medical historians data hasfound,0
2185,density,density,0
293,populations,populations,0
2199,1123 gpa,1123 gpa,0
2166,td symmetry,td symmetry,0
81,santo domingo,santo domingo,0
292,modern physicians,modern physicians,0
173,mediterranean coasts,mediterranean coasts,0
2178,0.5 gpa,0.5 gpa,0
2266,normal conditions,normal conditions,0
2165,xray crystallography,xray crystallography,0
2184,cubic phase,cubic phase,0
2216,nodal carbon sites,nodal carbon sites,0
230,french surgeon ambroise paré,french surgeon ambroise paré,0
2158,tetramine,tetramine,0
2282,adapalene,chemical compound medication carboxylic acid,0
2281,adamantane derivatives,chemical compound,0
2160,silaadamantane,silaadamantane,0
264,countries,countries,0
2264,particular reaction,particular reaction,0
24,government,government,0
2218,values,values,0
2217,hydrogen bromine methyl carboxyl group,hydrogen bromine methyl carboxyl group,0
80,isle,isle,0
2290,vildagliptin,medication heterocyclic compound group stereoisomers,0
2283,carmantadine,chemical compound,0
265,england ireland,nation uk cultural area countryemoji regional indicator sequence éire (irish),0
123,europeeurope,europeeurope,0
58,turin professor francisco vallerioli,turin professor francisco vallerioli,0
266,british medical historian charles creighton,british medical historian charles creighton,0
2157,adamantanelike cage structures,adamantanelike cage structures,0
2177,208 k,208 k,0
231,rheumatic affliction,rheumatic affliction,0
2174,orientationally disordered adamantane molecules,chemical compound,0
76,fleets,fleets,0
2182,heat capacity,heat capacity,0
2221,adamantane cation,chemical compound,0
278,spain portugal,sovereign state start time 1415 country,0
2202,weak van der waals forces,weak van der waals forces,0
94,bloodletting,treatment,0
2192,ultrasonic echo technique,ultrasonic echo technique,0
2252,carboxylating agent,carboxylating agent,0
86,smallpox,eradicated disease start time 1980,0
183,germanspeaking europeans,germanspeaking europeans,0
37,german medical writer justus hecker,german medical writer justus hecker,0
84,1490s,1490s,0
3,north africa,continent,0
72,americas,americas,0
140,delirium,disease,0
2244,catalysts,catalysts,0
2171,1.112 å.at ambient conditions,1.112 å.at ambient conditions,0
234,tours,tours,0
306,flulike illness,flulike illness,0
170,july,july,0
277,ireland,emoji regional indicator sequence éire (irish),0
149,weeks,weeks,0
172,infected merchant ships,infected merchant ships,0
148,pertussis,pertussis,0
185,canton,canton,0
2203,adamantane crystals,chemical compound,0
144,lung congestion,lung congestion,0
2150,applications,applications,0
47,malta,religious minority major religious group,0
39,influenzas,influenzas,0
143,10th days,10th days,0
2286,memantine,chemical compound medication,0
68,lawyer francesco muralto,lawyer francesco muralto,0
2204,spectroscopy,spectroscopy,0
2181,anomaly,anomaly,0
212,kingdom,kingdom,0
38,historical nature,historical nature,0
2236,bromination,bromination,0
2190,elastic constants,elastic constants,0
7,epidemiologists,epidemiologists,0
2163,structure,structure,0
2275,acetamide,acetamide,0
190,german physician achilles gasser,german physician achilles gasser,0
2294,amantadine,chemical compound medication,0
13,printing press,printing press,0
15,coqueluche,coqueluche,0
2153,polymer formulations,polymer formulations,0
2152,dry etching masks,dry etching masks,0
2259,ozonation,scholarly article review article,0
2293,drug resistance,drug resistance,0
2173,facecentered cubic structure,facecentered cubic structure,0
208,baltic states,baltic states,0
253,henry iii,henry iii,0
121,european chroniclers,european chroniclers,0
48,british medical historian thomas short,british medical historian thomas short,0
2276,medical applications,medical applications,0
92,paré,paré,0
134,3 days,3 days,0
2206,poorly resolved signals,poorly resolved signals,0
2189,hardness,hardness,0
2172,adamantane crystallizes,chemical compound,0
25,church,church,0
135,headache,headache,0
2231,electrons,electrons,0
281,portugal,sovereign state start time 1415 country,0
2200,arrangement,arrangement,0
189,fatigue,symptom,0
65,physicians,physicians,0
303,repeated waves,repeated waves,0
2220,adamantane cations,chemical compound,0
188,population,population,0
6554,david r. smith,david r. smith,1
6552,suzanne genova,suzanne genova,1
6558,richard j. webby,richard j. webby,1
10534,temporal patterns,temporal patterns,1
6555,liesel schneider,liesel schneider,1
10536,morbidity,morbidity,1
88,head,head,1
6559,xiufeng wan,xiufeng wan,1
10535,sick correlation,sick correlation,1
10532,mechanistic modeling approach,mechanistic modeling approach,1
6556,kathleen barton,kathleen barton,1
10533,underlie variability,underlie variability,1
6557,katlin mccuan,katlin mccuan,1
2300,sdb001,sdb001,1
10529,poorer nutrition,poorer nutrition,1
6610,nasal secretions,nasal secretions,1
1216,shoppers,shoppers,1
6613,virusladen aerosol,virusladen aerosol,1
6614,aforementioned bodily fluids,aforementioned bodily fluids,1
10502,30 times higher death rates,stock character psychopomp literary character,1
10501,geographic patterns,geographic patterns,1
6620,epidemiological factors,epidemiological factors,1
10498,hospitalized women,hospitalized women,1
1211,9%,9%,1
6627,important determinant,important determinant,1
10493,92%,92%,1
6629,deadly avian strain,deadly avian strain,1
6632,highrisk humans,infectious disease france,1
6640,following year,following year,1
6642,variants subtypes influenzavirus,variants subtypes influenzavirus,1
6644,lineage,lineage,1
6648,upheaval psychological damage,upheaval psychological damage,1
10490,patterns fatality,patterns fatality,1
1208,bans,bans,1
6651,living,living,1
6652,dead bodies,dead bodies,1
1217,alternatives,alternatives,1
6606,infected mammals,infected mammals,1
10506,times higher chance,times higher chance,1
10507,extremes,extremes,1
10528,indian women,indian women,1
6572,igsp,igsp,1
89,shoulders,shoulders,1
6575,tigr,tigr,1
6576,publication,publication,1
1230,hardship monies,hardship monies,1
10526,preexisting tuberculosis,notifiable disease valid place switzerland endemic disease,1
10524,african americans,african americans,1
10523,crowded living conditions,crowded living conditions,1
10522,worse diets,worse diets,1
6570,handful,handful,1
1228,workers,workers,1
10518,italian americans,italian americans,1
6583,3000 isolates,3000 isolates,1
1226,transport,transport,1
10515,social status,social status,1
10512,apartment size,apartment size,1
10511,oslo,capital big city city administrative centre,1
6595,volcanoes,volcanoes,1
6596,cosmic dust,cosmic dust,1
10510,social classes,social classes,1
10508,differences,differences,1
10520,average americans,average americans,1
10538,temporal variations,temporal variations,1
9803,fda availability,fda availability,1
6544,shift,shift,1
6313,dust,dust,1
6314,feathers,feathers,1
6315,trachea,trachea,1
6317,especially escherichia coli infections,especially escherichia coli infections,1
6318,bronchi,bronchi,1
6319,ventilation,ventilation,1
6322,immunization failure,immunization failure,1
6330,distal head,distal head,1
6331,ha trimer,ha trimer,1
6335,butt,butt,1
10586,lower income,lower income,1
6337,idrees m,idrees m,1
1290,pandemics,pandemics,1
1287,districts,districts,1
10582,cohorts,cohorts,1
6345,effective surveillance,effective surveillance,1
10581,political economy,political economy,1
6351,h number,h number,1
6352,n number,n number,1
6359,variants subtypes,variants subtypes,1
6362,total cost,total cost,1
1277,disinfection programme,disinfection programme,1
10574,nursing staff,nursing staff,1
6369,smallest virions,smallest virions,1
10571,increasing number,increasing number,1
6370,elliptical shape,elliptical shape,1
10584,reduced educational attainment increased rates,reduced educational attainment increased rates,1
6309,a/duck/hong kong/y439/97,a/duck/hong kong/y439/97,1
1292,previous triple reassortment,previous triple reassortment,1
6305,eurasian avian lineage,eurasian avian lineage,1
6248,reported cases 2015,reported cases 2015,1
10601,island newfoundland,island newfoundland,1
6249,canadian visitor,canadian visitor,1
6250,15 cases,15 cases,1
6252,reported cases late 2016 2017 (5th epidemic),reported cases late 2016 2017 (5th epidemic),1
6253,5th epidemic,5th epidemic,1
6256,laboratoryconfirmed cases,laboratoryconfirmed cases,1
6258,281 deaths,281 deaths,1
6260,international team,international team,1
6268,kawaoka,kawaoka,1
6272,epidemiological investigations,epidemiological investigations,1
6274,avian h7n9,taxon,1
1303,higher proportion,higher proportion,1
10599,115 million cases,115 million cases,1
1301,lower value,lower value,1
6278,phylogenetic trees,phylogenetic trees,1
6279,fortythree close contacts,fortythree close contacts,1
1300,asymptomatic mild cases,asymptomatic mild cases,1
6287,huhuai wholesale agricultural products market,huhuai wholesale agricultural products market,1
10597,lower percentage,lower percentage,1
1299,actual number,actual number,1
6291,latest occurring,latest occurring,1
6293,h9n2,h9n2,1
6297,longterm vaccination programs,longterm vaccination programs,1
1294,swine,swine disease,1
10589,birth cohorts,birth cohorts,1
10588,higher transfer payments,higher transfer payments,1
6371,length,length,1
6550,lucas ferguson,lucas ferguson,1
6372,particle,particle,1
10569,profit gains,profit gains,1
6478,young children,young children,1
6483,highest preventable mortalities,highest preventable mortalities,1
10553,allied cause,allied cause,1
10552,power,power,1
6488,d.,d.,1
6492,glycoprotein,glycoprotein,1
1246,birdadapted strain,birdadapted strain,1
10550,academic andrew pricesmith,academic andrew pricesmith,1
1242,actual compensation,actual compensation,1
6504,techniques,techniques,1
6505,color change,color change,1
6507,hef,hef,1
1251,recent outbreaks uk rest eu,recent outbreaks uk rest eu,1
6508,hi test,hi test,1
10545,temperature changes,temperature changes,1
6515,seasonal epidemics,seasonal epidemics,1
10544,school opening,school opening,1
6521,wagaman pc,wagaman pc,1
6522,spence ha,spence ha,1
6523,o callaghan rj],o callaghan rj],1
6527,serum samples,serum samples,1
6528,hemagglutinationinhibiting antibodies,family protein complexes,1
1240,payout,payout,1
6539,genetic changes,genetic changes,1
6540,lower lung,lower lung,1
6543,c d growth requirements,c d growth requirements,1
6511,quick inexpensive method,quick inexpensive method,1
6472,muscle pain,muscle pain,1
6469,coldlike symptoms,coldlike symptoms,1
1255,essex,essex,1
1272,west midnapore,west midnapore,1
6381,varied shapes,varied shapes,1
6383,main types,main types,1
1270,purulia,municipality west bengal,1
6387,virion,virion,1
10568,healthcare industry,healthcare industry,1
6389,abundant nonproductive attachment sites,abundant nonproductive attachment sites,1
6391,targets,targets,1
6392,antigen proteins,group class chemical substancesgroup class chemical substances second-order class,1
6394,16 subtypes,16 subtypes,1
6395,ha 9 subtypes,ha 9 subtypes,1
6397,genetic material,genetic material,1
10566,losses,losses,1
10565,entertainment service industries,entertainment service industries,1
78,atlantic,atlantic,1
10562,home computers,home computers,1
10558,higher excess mortality rates,higher excess mortality rates,1
1261,thirteen districts,thirteen districts,1
6422,following subtypes,following subtypes,1
6423,fi6 antibody,family protein complexes,1
6424,fi6,fi6,1
6429,morphology,morphology,1
6434,nucleoprotein complex,group class proteins,1
10556,allied powers,allied powers,1
1257,cellardyke,village,1
6444,genus gammainfluenzavirus,genus gammainfluenzavirus,1
1256,dead whooper swan,dead whooper swan,1
6373,excess,excess,1
6657,illegal behavior,illegal behavior,1
6773,15 μg,15 μg,1
10486,isolated island,isolated island,1
7110,cytokines,cytokines,1
7116,antioxidant food supplement,antioxidant food supplement,1
1089,segregation zones,segregation zones,1
10382,instrumental records,instrumental records,1
1084,h5n1subtype,h5n1subtype,1
1083,instance,instance,1
7126,liter,liter,1
7127,green tea,green tea,1
7129,reduced risk,reduced risk,1
7131,epigallocatechin gallate,epigallocatechin gallate,1
7132,topical application,topical application,1
7133,mild disinfectant,mild disinfectant,1
7108,18%,18%,1
7135,stronger immune response,stronger immune response,1
7140,direct transfusion,direct transfusion,1
1082,suffolk,suffolk,1
7144,era,era,1
7146,hospitalized severe cases,hospitalized severe cases,1
7148,37%,37%,1
7153,vaccines effectiveness,vaccines effectiveness,1
7165,temporary muscle pains,temporary muscle pains,1
7170,guillain–barré syndrome,guillain–barré syndrome,1
7181,u.s centers,u.s centers,1
7185,protective antibodies,family protein complexes,1
7189,24 months,24 months,1
1074,west bengal,west bengal,1
7138,transfused antibodies,family protein complexes,1
1093,55 turkey poults,sovereign state transcontinental country mediterranean country country social state regional power secular state,1
7099,survival,survival,1
10387,anthropogenic increase,anthropogenic increase,1
1117,vet fromthesitewasadmittedintohospitalsufferingfromamildrespiratoryillnessduringtheeveningof6februaryavetfrom site,vet fromthesitewasadmittedintohospitalsufferingfromamildrespiratoryillnessduringtheeveningof6februaryavetfrom site,1
7038,13 studies,13 studies,1
7039,support,support,1
7041,rigorous clinical trials,rigorous clinical trials,1
7042,recent review,recent review,1
1116,vet,vet,1
7044,vitro studies,vitro studies,1
7046,dhea,chemical compound steroid,1
7049,larix occidentalis arabinogalactans,larix occidentalis arabinogalactans,1
7051,astragalus membranaceus,astragalus membranaceus,1
7052,isatis tinctoria,isatis tinctoria,1
7053,isatis indigotica,isatis indigotica,1
1114,320 workers,320 workers,1
10399,debates,debates,1
1111,criticism,criticism,1
7060,interferons,interferons,1
7066,donated blood,biogenic substance type,1
7071,1969 study,1969 study,1
7075,low concentrations,low concentrations,1
10395,delayed response,delayed response,1
10391,dust particles,dust particles,1
7080,interferonalpha actually reduced interferonalpha immune response,interferonalpha actually reduced interferonalpha immune response,1
10390,nucleation,nucleation,1
10389,incessant bombardment,incessant bombardment,1
1100,weybridge,town,1
7089,randomized clinical trial,randomized clinical trial,1
1097,tests,tests,1
7196,fertilized chicken eggs,fertilized chicken eggs,1
7200,chicken eggs,chicken eggs,1
7201,monovalent harvests,monovalent harvests,1
1072,worry,worry,1
1047,evacuation operations,evacuation operations,1
10345,view,view,1
7310,healthcare workers,healthcare workers,1
1046,alert,alert,1
7313,eighteen studies,eighteen studies,1
7315,patient mortality,patient mortality,1
7317,healthcare worker vaccination,healthcare worker vaccination,1
7318,reduced patient deaths,reduced patient deaths,1
10343,aftermath,aftermath,1
7325,randomized controlled case–control studies,randomized controlled case–control studies,1
1042,pharmaceutical companies,pharmaceutical companies,1
7328,case–control studies,case–control studies,1
7332,steep decline,steep decline,1
1040,kashmir,kashmir,1
7337,influenzaassociated death,stock character psychopomp literary character,1
142,5th,5th,1
7344,fluad,fluad,1
1038,tamil nadu,tamil nadu,1
7348,immunization practices guidelines,immunization practices guidelines,1
10341,deadly second wave,deadly second wave,1
7356,fluad quad,fluad quad,1
7357,fluad quadrivalent,fluad quadrivalent,1
7358,fluad tetra,fluad tetra,1
7360,successful fullterm pregnancy,physiological condition,1
146,second week,second week,1
10329,massive hemorrhages,massive hemorrhages,1
7367,complication,complication,1
1049,grievances locals,grievances locals,1
7036,seasonality,seasonality,1
7295,pediatric fluad,pediatric fluad,1
1055,chicken products,chicken products,1
7209,published studies,published studies,1
7212,uncertainty,uncertainty,1
1071,tamiflu,chemical compound neuraminidase inhibitor medication essential medicine,1
7216,seasonal variability,seasonal variability,1
1070,supplies,supplies,1
10368,precipitation,precipitation,1
7223,productivity gains,productivity gains,1
10366,environmental indicators,environmental indicators,1
1067,official response,official response,1
1066,chicken,chicken,1
7233,following objectives,following objectives,1
7235,immunization series,immunization series,1
7245,good match,good match,1
7247,slight mutation,slight mutation,1
7256,overall effectiveness,overall effectiveness,1
7261,rubbish,rubbish,1
7263,rubbish views,rubbish views,1
136,prostration,prostration,1
138,sleep,sleep,1
10357,incessant rains,incessant rains,1
10356,especially wwi troops,especially wwi troops,1
1058,fish,fish,1
139,appetite,appetite,1
7283,preference,preference,1
10350,mismanaged response,mismanaged response,1
7284,dose volume,dose volume,1
1056,steep rise,steep rise,1
10349,poor hygiene,poor hygiene,1
10400,japan efficacy,sovereign state island nation country,1
7033,seasonal variation,seasonal variation,1
7025,micronutrient deficiencies,micronutrient deficiencies,1
6772,strength,strength,1
6244,reported cases 2014,reported cases 2014,1
6777,as04,as04,1
6778,mf59,immunologic adjuvant,1
6779,second problem,second problem,1
6780,circulating clades,circulating clades,1
6781,clade,clade,1
6788,guidance,guidance,1
10470,blockade,blockade,1
1173,transport ban,transport ban,1
1172,eu regulations,eu regulations,1
6795,office,office,1
6798,critical pilot test,critical pilot test,1
6799,immunogenicity,immunogenicity,1
10467,adult women,adult women,1
6808,current portal,current portal,1
6815,document,document,1
10465,adult men,adult men,1
103,bole armoniac,bole armoniac,1
10457,pacific island territories,pacific island territories,1
6825,genomics,branch biology genome omics academic discipline,1
10452,alaska,alaska,1
6838,specialized chicken eggs,specialized chicken eggs,1
6840,companies,companies,1
6843,fort riley,fort riley,1
6845,fort,fort,1
6846,local consumption,local consumption,1
10471,higher social classes,higher social classes,1
6847,recent reconstruction,recent reconstruction,1
10472,custom,custom,1
1181,investigator,investigator,1
10485,main road,main road,1
6661,reality,reality,1
1204,importation,importation,1
96,supraorbital pain vision problems,supraorbital pain vision problems,1
10478,lessaffected areas,lessaffected areas,1
6675,eu response,eu response,1
1201,plausible cause,plausible cause,1
6679,increasing lethality,increasing lethality,1
99,hoods,hoods,1
1198,uk,uk,1
6699,787 confirmed cases,787 confirmed cases,1
6700,stages,stages,1
10475,deathbeds,deathbeds,1
6705,easy incorporation,easy incorporation,1
6707,approaches,approaches,1
6709,response plans,response plans,1
6712,observable phenomena,observable phenomena,1
1191,allegations,allegations,1
6714,response planning activities,response planning activities,1
6715,mitigation efforts,mitigation efforts,1
1190,bernard matthews owned subsidiary,bernard matthews owned subsidiary,1
10474,chiefs,chiefs,1
100,light sensitivity,light sensitivity,1
6728,public response measures,public response measures,1
6735,uk department,uk department,1
6736,set,set,1
6744,initial stages,initial stages,1
6755,considerations,considerations,1
10487,marajó,marajó,1
1158,revelation,revelation,1
6852,classic symptoms,classic symptoms,1
6944,annual output,annual output,1
10417,epsom salts,epsom salts,1
6955,sanofiaventis,sanofiaventis,1
6956,swiftwater,swiftwater,1
6958,better vaccines,better vaccines,1
10415,digitalis,taxon,1
6965,general ill feeling,general ill feeling,1
6967,recipient,recipient,1
10412,random assortment,random assortment,1
6976,vietnamese patient,vietnamese patient,1
1131,gulls,gulls,1
6985,protective immune response,protective immune response,1
6989,main classes,main classes,1
1128,biosecurity failings,type security,1
1127,series,series,1
6995,certain drugs,certain drugs,1
10403,actual enforcement,actual enforcement,1
6999,overuse,overuse,1
7007,performance,performance,1
10401,antimask league,antimask league,1
7010,tamifluresistance mutation,tamifluresistance mutation,1
7014,offlabel uses drugs,offlabel uses drugs,1
7015,generic prescription medications,generic prescription medications,1
7017,statins,drug class group class molecular entities,1
7018,fibrates,scholarly article review article,1
7021,malnutrition,malnutrition,1
7023,immunodeficiency,organisms known particular common,1
6941,holly springs,holly springs,1
6851,infected monkeys,infected monkeys,1
6934,optaflu,optaflu,1
6928,pitfalls,pitfalls,1
6853,distributed computing,distributed computing,1
6854,distributed research projects,distributed research projects,1
6855,global alliance,global alliance,1
1157,company director,company director,1
10447,stores,stores,1
10442,2018 reassessment,2018 reassessment,1
6872,wild bird migration patterns,taxon,1
6880,participants,participants,1
113,massive migrations,massive migrations,1
6885,reverse genetics,reverse genetics,1
10434,poison gas,poison gas,1
10430,rumors,rumors,1
6889,anticipated epidemic strain,anticipated epidemic strain,1
6890,certain virulence genes,certain virulence genes,1
1150,38 tons,38 tons,1
115,humans,infectious disease france,1
6899,dnabased approaches,dnabased approaches,1
6900,broadly protective vaccines,broadly protective vaccines,1
1147,house,house,1
10428,flanders fields,flanders fields,1
10426,noxious gases,noxious gases,1
6913,success,success,1
6914,e. coli bacteria,taxon,1
1141,exclusively bernard matthews holton problem,exclusively bernard matthews holton problem,1
10419,iodine,chemical element follows tellurium followed xenon,1
6925,e. coli,e. coli,1
1139,lords,lords,1
6929,chicken eggs.the committee,chicken eggs.the committee,1
6241,eastern china,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",1
6150,rapid response,rapid response,1
6236,600 close contacts,600 close contacts,1
1525,pregnant post partum women,pregnant post partum women,1
5383,route transmission,route transmission,1
5386,respiratory tract secretions,respiratory tract secretions,1
5389,clothing,clothing,1
5390,inanimate objects,inanimate objects,1
5392,desiccation,desiccation,1
5393,disinfectants,disinfectants,1
