,data,description,cluster
7830,jev,jev,3
7566,better realtime access,better realtime access,3
6175,poultry againsttheh5n1avianinfluenzavirusoverthelastdecademighthavemadetheh5n1avianinfluenzavirusharderforchineseveterinarytechnicianstospottherecentspreadoftheh7n9viruschina sagricultureministrydefendedchina sagricultureministrypolicyoflargescalevaccinationofpoultryagainst earlier bird flu strain,organisms known particular common nametaxoninfluenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,3
6333,contribution,contribution,3
6332,multiple genotypes,multiple genotypes,3
6190,nanjing,nanjing,3
6121,recombinant baculovirus,recombinant baculovirus,3
6174,largescale vaccination,largescale vaccination,3
6331,ha trimer,ha trimer,3
6195,internet surveys,internet surveys,3
7557,fluzone highdose quadrivalent,fluzone highdose quadrivalent,3
7550,fluarix quadrivalent,fluarix quadrivalent,3
7576,supply,supply,3
6197,sense,sense,3
6186,contagion awareness,contagion awareness,3
6198,urgency,urgency,3
7544,2010 study,2010 study,3
6323,current prevalence,current prevalence,3
7580,subject,subject,3
6322,immunization failure,immunization failure,3
6342,continuous evolution,continuous evolution,3
7743,pathway,pathway,3
7581,promising approach,promising approach,3
6321,distinct antigenic groups,distinct antigenic groups,3
6344,favor,favor,3
6320,antigenicity,antigenicity,3
7582,broadly neutralizing antibodies,family protein complexes,3
6179,riwi corporation,riwi corporation,3
6185,20 hours,20 hours,3
7753,isgf3,isgf3,3
7744,jaks,jaks,3
7579,escape,escape,3
6187,38%,38%,3
6339,computational molecular analysis,computational molecular analysis,3
7748,ifnstimulated gene factor,ifnstimulated gene factor,3
7549,nasal mist,nasal mist,3
6188,hangzhou,hangzhou,3
7824,sigma,sigma,3
7747,stat1,gene,3
7577,error,error,3
7762,heterodimers form,heterodimers form,3
6120,insect cells,insect cells,3
7746,receptor engagement,receptor engagement,3
6327,antigenic areas,antigenic areas,3
7578,design,design,3
6326,different distribution,different distribution,3
7745,ifn receptors,ifn receptors,3
6325,h9 antigenic sites,h9 antigenic sites,3
6324,amino acids,amino acids,3
6340,phylogenetic characterization,phylogenetic characterization,3
7758,interferome,biological database,3
6245,31yearold thoracic surgeon,31yearold thoracic surgeon,3
6209,critical condition,critical condition,3
6313,dust,dust,3
6148,scientific community,scientific community,3
7781,p70s6,p70s6,3
6272,epidemiological investigations,epidemiological investigations,3
7696,quantity,quantity,3
6149,china transparency,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",3
7797,downstream signaling events,downstream signaling events,3
7694,texas medical branch,state united states,3
6166,vaccination ofpoultryagainsttheh5n1avianinfluenzavirusoverthelastdecademighthavemadetheh5n1avianinfluenzavirusharderforchineseveterinarytechnicianstospottherecentspreadoftheh7n9viruschina sagricultureministrydefendedchina sagricultureministrypolicyoflargescalevaccinationof poultry,organisms known particular common,3
6229,new patients,new patients,3
7783,phosphorylates,phosphorylates,3
6151,credit,credit,3
6230,85yearold man,85yearold man,3
7692,novel coronavirus,group class strains strain,3
6231,25yearold pregnant woman,25yearold pregnant woman,3
6165,gisaid,gisaid,3
6232,64yearold man,64yearold man,3
7646,chickens aresmallerandyouonlyneedtoprotecthumanvaccines].chickensforsixweeksbecausethat showlonghumanvaccines].chickenslivetill,chicken gallus gallus domesticus common,3
7794,virus resistance interferons,virus resistance interferons,3
6234,laboratory,laboratory,3
6235,jiangsu,province china,3
6268,kawaoka,kawaoka,3
6153,china early openness,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",3
7793,lung cancer cells,constellation zodiacal constellation,3
7798,cytokine receptor,cytokine receptor,3
6154,reporting,reporting,3
7799,ifn production,ifn production,3
6146,novartis,business multinational corporation,3
7802,dengue,dengue,3
6282,unprotected exposure,unprotected exposure,3
6281,daughter,daughter,3
7641,useavaccinethat sonly85percentrelatedyou llget protection,useavaccinethat sonly85percentrelatedyou llget protection,3
7779,p38 map kinase,p38 map kinase,3
7801,japanese encephalitis virus,japanese encephalitis virus,3
6280,haemagglutination inhibition antibodies,family protein complexes,3
6279,fortythree close contacts,fortythree close contacts,3
6278,phylogenetic trees,phylogenetic trees,3
7699,77 moderate covid19 subjects,77 moderate covid19 subjects,3
7642,dr. cardona,dr. cardona,3
6227,chinese national health family planning commission,chinese national health family planning commission,3
7698,universities,universities,3
6142,gisaid initiative,gisaid initiative,3
6277,genome sequence,scientific model natural environment,3
7800,functions,functions,3
6143,j. craig venter institute,j. craig venter institute,3
6276,may. 60yearold man daughter,may. 60yearold man daughter,3
7643,single point mutation,single point mutation,3
7644,vaccine s99.99percentrelatedwon tprotect,vaccine s99.99percentrelatedwon tprotect,3
6275,may. 60yearold man,may. 60yearold man,3
7697,second study,second study,3
6145,inc.,inc.,3
7780,pi3k,pi3k,3
6141,china cdc,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",3
6236,600 close contacts,600 close contacts,3
7785,rigg,rigg,3
6160,chinese team,chinese team,3
7658,dinosaurs.\ researchers,dinosaurs.\ researchers,3
7659,nicholas savill,nicholas savill,3
7660,mathematical models,mathematical models,3
7661,95 percent,95 percent,3
7662,90 percent,90 percent,3
6161,usage,usage,3
7663,flock,flock,3
7677,cancers,cancers,3
7787,highly conserved multiprotein complex,highly conserved multiprotein complex,3
7791,nfκb,nfκb,3
7664,protection levels,protection levels,3
7670,natural immunity,natural immunity,3
7676,indications,indications,3
6162,j. craig venter institute data,j. craig venter institute data,3
6163,spirit,spirit,3
7675,alfa r.it,alfa r.it,3
6243,central henan,central henan,3
7672,recombinant form,recombinant form,3
7673,biogen,biogen,3
7674,scheringplough,scheringplough,3
7789,deubiquitination,deubiquitination,3
7790,phosphorylation,phosphorylation,3
7657,dr. david e. swayne,dr. david e. swayne,3
6237,760 close contacts,760 close contacts,3
7755,specific regulatory elements,specific regulatory elements,3
7786,csn5containing cop9 signalosome,csn5containing cop9 signalosome,3
6264,features,features,3
7688,university texas medical branch,state united states,3
6261,yoshihiro kawaoka,yoshihiro kawaoka,3
6260,international team,international team,3
6155,sharing,sharing,3
7687,peerreviewed scientific literature,peerreviewed scientific literature,3
6257,759 infections,759 infections,3
7686,malignant melanoma,rare disease,3
7685,mastocytosis,mastocytosis,3
7684,carcinoid tumor,carcinoid tumor,3
6156,spite,spite,3
6255,cumulative total,cumulative total,3
6157,initial worries,initial worries,3
7651,dr. john j. treanor,dr. john j. treanor,3
7683,follicular lymphoma,follicular lymphoma,3
7792,stat3,stat3,3
7682,multiple myeloma,multiple myeloma,3
6239,sevenyearold girl,sevenyearold girl,3
7653,rochester,rochester,3
7681,chronic myelogenous leukemia,chronic myelogenous leukemia,3
6253,5th epidemic,5th epidemic,3
6164,gisaid sharing mechanism,gisaid sharing mechanism,3
6252,reported cases late 2016 2017 (5th epidemic),reported cases late 2016 2017 (5th epidemic),3
6241,eastern china,"sovereign state socialist state secular state constitutional republic country ""peoples republic""",3
7593,different antigens,different antigens,3
7777,stat5,protein family,3
6226,7.on april,7.on april,3
7729,membrane,membrane,3
7728,pattern recognition receptors,pattern recognition receptors,3
7727,bacterial flagella,bacterial flagella,3
6205,chp,chp,3
7724,microbes,microbes,3
6129,vaccine manufacturing,vaccine manufacturing,3
7768,isre gas elements,isre gas elements,3
6300,crucial role,crucial role,3
6207,anhui,province china,3
7723,induction interferons,induction interferons,3
6208,jiangsu province,province china,3
7721,beneficial action,beneficial action,3
6299,gene donor,gene donor,3
6210,suzhou,suzhou,3
6211,wuxi,wuxi,3
7605,sufficiently powerful enduring immune response,sufficiently powerful enduring immune response,3
7720,tumor growth,tumor growth,3
7813,ifnα activity,ifnα activity,3
7719,ifn,ifn,3
7769,gene induction,gene induction,3
6297,longterm vaccination programs,longterm vaccination programs,3
6131,nih,nih,3
7717,major types,major types,3
6302,wide host range,wide host range,3
6296,great economic loss,great economic loss,3
7815,poxviruses,poxviruses,3
7730,receptors,receptors,3
6312,air droplet,air droplet,3
6171,recent spread,recent spread,3
6309,a/duck/hong kong/y439/97,a/duck/hong kong/y439/97,3
6308,a/quail/hong kong/g1/97like,a/quail/hong kong/g1/97like,3
7597,better outcomes,better outcomes,3
6307,a/chicken/beijing/1/94like,a/chicken/beijing/1/94like,3
6306,distinct lineages,distinct lineages,3
7598,tcells,tcells,3
7763,dimers,dimers,3
7734,signal transducer,signal transducer,3
7599,epitopes,epitopes,3
7764,gene transcription,gene transcription,3
6170,chinese veterinary technicians,chinese veterinary technicians,3
7765,ifnactivated site elements,ifnactivated site elements,3
7766,gene promoters,gene promoters,3
7733,ifns,ifns,3
7600,developers,developers,3
7732,specific receptors,specific receptors,3
6203,travel,travel,3
7816,soluble ifn receptor,soluble ifn receptor,3
7731,downstream signaling,downstream signaling,3
7767,type ifns,type ifns,3
6304,breeding ground,breeding ground,3
6303,extensive gene reassortment,extensive gene reassortment,3
6140,unprecedented immediate release,unprecedented immediate release,3
6212,epidemiologic links,epidemiologic links,3
7770,type ifn,type ifn,3
6220,farmer,farmer,3
6221,huzhou,prefecture-level city big city city millions inhabitants,3
7707,usefulness,usefulness,3
6139,request,request,3
7625,primary course,primary course,3
7807,large t antigen,group class chemical substances,3
7626,boosters,boosters,3
7627,6–12 month intervals,6–12 month intervals,3
7705,ifnα,ifnα,3
7704,crossspecies nature,crossspecies nature,3
7632,mineral oil,mineral oil,3
7703,offlabel,offlabel,3
7702,inflammatory cytokine,inflammatory cytokine,3
7701,significant reduction,significant reduction,3
6222,death toll,stock character psychopomp literary character,3
6288,songjiang district,songjiang district,3
7634,abscesses,abscesses,3
7635,painful swollen fingers,painful swollen fingers,3
7636,thumbs,thumbs,3
7776,nuclear adaptor,nuclear adaptor,3
6287,huhuai wholesale agricultural products market,huhuai wholesale agricultural products market,3
6225,24 death case,stock character psychopomp literary character,3
6286,pigeon samples,pigeon samples,3
7773,signaling cascades,signaling cascades,3
7608,conclusion,conclusion,3
7624,vaccination schedules,vaccination schedules,3
7709,introna summary,introna summary,3
6213,h7n9 infections,taxon,3
7609,m001,m001,3
6295,chinese chickens,chicken gallus gallus domesticus common,3
6294,common subtype,common subtype,3
6214,close contacts,close contacts,3
6135,adjuvants,adjuvants,3
7611,12 400 participants,12 400 participants,3
6293,h9n2,h9n2,3
7612,data analysis,data analysis,3
6136,19 64 years,19 64 years,3
7613,statistical difference,statistical difference,3
7713,nearby cells,nearby cells,3
7808,polyomavirus,polyomavirus,3
6216,second man,second man,3
6291,latest occurring,latest occurring,3
7771,gas element,gas element,3
7620,similar immunity,similar immunity,3
6218,48yearold man,48yearold man,3
7772,jakstat pathway,jakstat pathway,3
6137,shanghai,city direct-controlled municipality national central city big city city millions inhabitants,3
6352,n number,n number,3
7710,product characteristics,product characteristics,3
7623,dry hacking cough,dry hacking cough,3
6219,52yearold woman,52yearold woman,3
7656,microgram,microgram,3
6808,current portal,current portal,3
6354,11 different known n antigens,11 different known n antigens,3
6653,great social disruption,great social disruption,3
6654,great deal,great deal,3
7084,emergency prevention,emergency prevention,3
7083,nasal drops,nasal drops,3
6656,trust,trust,3
7082,grippferon,grippferon,3
6657,illegal behavior,illegal behavior,3
6658,ignorance,ignorance,3
6659,horrific disconnect,horrific disconnect,3
6651,living,living,3
7080,interferonalpha actually reduced interferonalpha immune response,interferonalpha actually reduced interferonalpha immune response,3
6660,reassurances,reassurances,3
6661,reality,reality,3
6662,credibility,credibility,3
7078,oral dosing,oral dosing,3
6663,authority,authority,3
7072,256 units,256 units,3
7071,1969 study,1969 study,3
7070,high doses,high doses,3
7067,high dose,high dose,3
7079,elderly patients,elderly patients,3
7065,early studies leukocytes,early studies leukocytes,3
6649,hospital rooms,hospital rooms,3
6646,isolate a/fujian/411/2002,isolate a/fujian/411/2002,3
7107,cultured airway cells,cultured airway cells,3
7106,rantes production,rantes production,3
7105,equine influenzainfected canine kidney cells,equine influenzainfected canine kidney cells,3
7104,dna fragmentation,dna fragmentation,3
7103,influenzainfected macrophages,influenzainfected macrophages,3
6637,material,material,3
7101,nac,nac,3
7099,survival,survival,3
7098,body weight,body weight,3
6648,upheaval psychological damage,upheaval psychological damage,3
7097,kilogram,kilogram,3
7095,oral supplementation,oral supplementation,3
6640,following year,following year,3
7090,1.2 grams,1.2 grams,3
7089,randomized clinical trial,randomized clinical trial,3
7088,nacetylcysteine,nacetylcysteine,3
6642,variants subtypes influenzavirus,variants subtypes influenzavirus,3
6643,isolate,isolate,3
6644,lineage,lineage,3
6645,typical host,typical host,3
7096,gram,gram,3
7108,18%,18%,3
6665,u.s. army camp,u.s. army camp,3
7060,interferons,interferons,3
7037,metaanalysis,metaanalysis,3
7036,seasonality,seasonality,3
7035,vitamin d synthesis,vitamin d synthesis,3
7034,sunlight exposure,sunlight exposure,3
6692,unknown causation,unknown causation,3
6693,march–april,march–april,3
6694,24 april,24 april,3
6696,seven ill patients,seven ill patients,3
7031,anemia,anemia,3
7039,support,support,3
7030,zinc,zinc,3
7028,vitamin,vitamin,3
7027,vitamin d,vitamin d,3
6700,stages,stages,3
7025,micronutrient deficiencies,micronutrient deficiencies,3
6702,2009 revision,2009 revision,3
7024,ecuador,ecuador,3
6703,phase descriptions,phase descriptions,3
7023,immunodeficiency,organisms known particular common,3
6704,sixphase approach,sixphase approach,3
7029,folic acid,folic acid,3
6666,1921 book,1921 book,3
7040,adjunctive vitamin d therapy,adjunctive vitamin d therapy,3
7043,herbal alternative medicines,herbal alternative medicines,3
7059,shortcomings,shortcomings,3
7057,available data,available data,3
7056,compelling evidence,compelling evidence,3
6668,pandemic threat subtypes,pandemic threat subtypes,3
6671,strategies,strategies,3
6674,medicines,medicines,3
7054,quality,quality,3
7053,isatis indigotica,isatis indigotica,3
7052,isatis tinctoria,isatis tinctoria,3
7042,recent review,recent review,3
7051,astragalus membranaceus,astragalus membranaceus,3
7050,elenolic acid,elenolic acid,3
6677,wave nature,wave nature,3
7049,larix occidentalis arabinogalactans,larix occidentalis arabinogalactans,3
7048,panax quinquefolium,panax quinquefolium,3
6679,increasing lethality,increasing lethality,3
7046,dhea,chemical compound steroid,3
6681,spanish flu (1918–1920),influenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,3
6682,category 5 influenza,infectious disease,3
7045,possible benefit,possible benefit,3
6676,– health – eu portal,– health – eu portal,3
7109,elderberry,elderberry,3
7110,cytokines,cytokines,3
7111,imprudent,imprudent,3
7170,guillain–barré syndrome,guillain–barré syndrome,3
6605,unrelated gastroenteritis,unrelated gastroenteritis,3
6606,infected mammals,infected mammals,3
7169,increase,increase,3
7168,certain years,certain years,3
7167,tiredness,tiredness,3
7166,feelings,feelings,3
7165,temporary muscle pains,temporary muscle pains,3
7164,percent,percent,3
6604,different type,different type,3
6608,sneezes,sneezes,3
7163,certain health problems,certain health problems,3
6610,nasal secretions,nasal secretions,3
7162,high risk groups,high risk groups,3
6611,feces,biogenic substance type,3
6612,healthy individuals,healthy individuals,3
7160,yearly vaccination,yearly vaccination,3
6613,virusladen aerosol,virusladen aerosol,3
7159,vaccinating children,vaccinating children,3
6614,aforementioned bodily fluids,aforementioned bodily fluids,3
6609,droppings,droppings,3
6615,human body temperature,organisms known particular common homo sapiens homo sapiens sapiens homo,3
6603,muscle pains,muscle pains,3
7177,middle layer,middle layer,3
7195,manufacturing,manufacturing,3
6593,comets,comets,3
7193,public health organizations,public health organizations,3
7192,recommendations,recommendations,3
7191,15 45%,15 45%,3
6594,earthquakes,earthquakes,3
7190,myocardial infarction,myocardial infarction,3
6595,volcanoes,volcanoes,3
6596,cosmic dust,cosmic dust,3
7174,previous versions,previous versions,3
7188,healthy children,healthy children,3
7186,2012 metaanalysis,2012 metaanalysis,3
7185,protective antibodies,family protein complexes,3
7183,best way,best way,3
6597,setting,setting,3
6598,sun,sun,3
7181,u.s centers,u.s centers,3
6599,ground,ground,3
6600,blast,blast,3
7179,1930s,1930s,3
7187,hivpositive adults,hivpositive adults,3
7158,high quality research,high quality research,3
6616,low temperatures,low temperatures,3
6617,detergents,detergents,3
7131,epigallocatechin gallate,epigallocatechin gallate,3
7130,high levels,high levels,3
6630,great risk,great risk,3
7129,reduced risk,reduced risk,3
7128,high dietary intake,high dietary intake,3
7127,green tea,green tea,3
6632,highrisk humans,infectious disease france,3
7126,liter,liter,3
7125,1.2 milligrams,1.2 milligrams,3
7132,topical application,topical application,3
7124,ethanol extract,ethanol extract,3
7122,chinese medicinal herbs,chinese medicinal herbs,3
7121,extract,extract,3
7120,andrographis paniculata,andrographis paniculata,3
6633,industrialized countries,industrialized countries,3
7119,eleutherococcus senticosus,eleutherococcus senticosus,3
7118,mixture,mixture,3
7117,kan jang,kan jang,3
7116,antioxidant food supplement,antioxidant food supplement,3
7115,labels,labels,3
7123,rantes secretion,rantes secretion,3
6628,practice,practice,3
6627,important determinant,important determinant,3
7134,regular dietary intake,regular dietary intake,3
7154,high protection,high protection,3
7153,vaccines effectiveness,vaccines effectiveness,3
7152,new versions,new versions,3
7149,bovine colostrum,bovine colostrum,3
7148,37%,37%,3
6618,appearance,appearance,3
7145,procedural refinements,procedural refinements,3
7144,era,era,3
6620,epidemiological factors,epidemiological factors,3
7142,recovered patients,recovered patients,3
7141,plasma,plasma,3
7140,direct transfusion,direct transfusion,3
6621,wwi practice,wwi practice,3
6622,soldiers,soldiers,3
6623,severe influenza illness,infectious disease,3
6624,field hospitals,field hospitals,3
7139,alternative,alternative,3
7138,transfused antibodies,family protein complexes,3
7137,tcell function,tcell function,3
7136,enhancement,enhancement,3
6626,battlefield,battlefield,3
7022,common cause,common cause,3
7197,manufacturing process,manufacturing process,3
7021,malnutrition,malnutrition,3
7019,chloroquine,chemical compound medication essential medicine,3
6890,certain virulence genes,certain virulence genes,3
6889,anticipated epidemic strain,anticipated epidemic strain,3
6886,rapid generation,rapid generation,3
6885,reverse genetics,reverse genetics,3
6764,single injection,single injection,3
6883,flumist,brand,3
6881,phase 1 h5n1 study,subtype,3
6880,participants,participants,3
6766,large multicentre trial,large multicentre trial,3
6762,technical problems,technical problems,3
6876,extent,extent,3
6872,wild bird migration patterns,taxon,3
6768,provided protection,provided protection,3
6770,acceptable level,acceptable level,3
6868,pandemic mitigation funds,pandemic mitigation funds,3
6867,expenditures,expenditures,3
6866,dollars,dollars,3
6772,strength,strength,3
6773,15 μg,15 μg,3
6774,90 μg,90 μg,3
6767,90 µg h5,90 µg h5,3
6775,alum,structural class chemical compounds,3
6761,lessdeveloped countries,lessdeveloped countries,3
6895,recent niaidsupported phase ii clinical trial,recent niaidsupported phase ii clinical trial,3
6918,bacterium,bacterium,3
6917,harmful,harmful,3
6755,considerations,considerations,3
6914,e. coli bacteria,taxon,3
6913,success,success,3
6912,new jerseybased biotechnology company,new jerseybased biotechnology company,3
6911,vaxinnate,business,3
6910,peptides,peptides,3
6757,indonesia citizens,sovereign state archipelagic state constitutional republic island nation presidential régime country,3
6893,genetically engineering baculovirus,genetically engineering baculovirus,3
6758,assurances,assurances,3
6908,neugene therapeutics,neugene therapeutics,3
6907,key finding,key finding,3
6906,independent research laboratories,independent research laboratories,3
6759,10 percent,10 percent,3
6905,multiple strains.avi bio pharma inc. labs,multiple strains.avi bio pharma inc. labs,3
6904,morpholino oligomers,morpholino oligomers,3
6903,inhibition,inhibition,3
6902,multiple strains.avi bio pharma inc.,multiple strains.avi bio pharma inc.,3
6899,dnabased approaches,dnabased approaches,3
6909,morpholinos,morpholinos,3
6919,dowpharma,dowpharma,3
6776,as03,immunologic adjuvant,3
6859,domestic flock,domestic flock,3
6833,technology,academic discipline,3
6831,fiveyear contracts,fiveyear contracts,3
6830,current major flu research contracts,influenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,3
6829,diagnostic tools,diagnostic tools,3
6828,therapies,therapies,3
6826,main goal,main goal,3
6825,genomics,branch biology genome omics academic discipline,3
6793,$100 million dhhs initiative,$100 million dhhs initiative,3
6823,molecular virology,molecular virology,3
6834,speedier mass production,speedier mass production,3
6821,malaysian population,malaysian population,3
6795,office,office,3
6798,critical pilot test,critical pilot test,3
6817,hazards,hazards,3
6816,growing concern,growing concern,3
6799,immunogenicity,immunogenicity,3
6815,document,document,3
6813,canadian public health agency,canadian public health agency,3
6805,professionally vetted search engine,professionally vetted search engine,3
6807,policies,policies,3
6820,place processes,place processes,3
6863,hope,hope,3
6835,$3.8 billion pandemic preparedness,$3.8 billion pandemic preparedness,3
6790,actions,actions,3
6777,as04,as04,3
6858,wild bird s lpai wouldmutatein,taxon,3
6778,mf59,immunologic adjuvant,3
6779,second problem,second problem,3
6855,global alliance,global alliance,3
6854,distributed research projects,distributed research projects,3
6780,circulating clades,circulating clades,3
6781,clade,clade,3
6851,infected monkeys,infected monkeys,3
6791,fforts,fforts,3
6850,kobasa et al,kobasa et al,3
6847,recent reconstruction,recent reconstruction,3
6846,local consumption,local consumption,3
6845,fort,fort,3
6843,fort riley,fort riley,3
6840,companies,companies,3
6839,speedy mass vaccinations,speedy mass vaccinations,3
6788,guidance,guidance,3
6837,american,american,3
6789,responsibilities,responsibilities,3
6783,clade 1 viruses,clade 1 viruses,3
6920,dow chemical,dow chemical,3
6921,different bacteria,taxon,3
6922,soil,soil,3
6992,classes,classes,3
6715,mitigation efforts,mitigation efforts,3
6990,acidic endonuclease inhibitors,acidic endonuclease inhibitors,3
6989,main classes,main classes,3
6987,hhs,hhs,3
6986,national stockpile,national stockpile,3
6984,103 healthy adults,103 healthy adults,3
6983,90microgram doses,90microgram doses,3
6982,2006 article,2006 article,3
6994,united states authority,united states authority,3
6717,post pandemic recovery activities,post pandemic recovery activities,3
6980,panel members,panel members,3
6979,fda advisory panel,fda advisory panel,3
6978,february 27 recommendation,february 27 recommendation,3
6720,adequate measure,adequate measure,3
6976,vietnamese patient,vietnamese patient,3
6974,strains antigen protects,group class chemical substances,3
6723,section,section,3
6973,15 micrograms,15 micrograms,3
6724,foreign relations panel,foreign relations panel,3
6981,reservations,reservations,3
6972,45 micrograms,45 micrograms,3
6995,certain drugs,certain drugs,3
6713,capacity development,capacity development,3
7017,statins,drug class group class molecular entities,3
6705,easy incorporation,easy incorporation,3
6707,approaches,approaches,3
7015,generic prescription medications,generic prescription medications,3
7014,offlabel uses drugs,offlabel uses drugs,3
7013,prescriptiononly medication,prescriptiononly medication,3
7012,overthecounter medication,overthecounter medication,3
7010,tamifluresistance mutation,tamifluresistance mutation,3
6708,existing national preparedness,existing national preparedness,3
6996,uninfected individuals,uninfected individuals,3
7007,performance,performance,3
7006,evaluation,evaluation,3
7004,stockpiles,stockpiles,3
7003,augmentation,augmentation,3
7002,urgent need,urgent need,3
7001,nature biotechnology,nature biotechnology,3
7000,june 2009 issue,june 2009 issue,3
6712,observable phenomena,observable phenomena,3
6998,bacterial antibiotic resistance,bacterial antibiotic resistance,3
6997,oseltamivir phosphate,chemical compound neuraminidase inhibitor medication essential medicine,3
6710,grouping,grouping,3
6970,piece,piece,3
6969,180 micrograms,180 micrograms,3
6725,animal problem,taxon,3
6738,groups,groups,3
6941,holly springs,holly springs,3
6739,adamantanes,adamantanes,3
6937,licensing,licensing,3
6934,optaflu,optaflu,3
6932,3 400 people,3 400 people,3
6742,commonly sought drug,commonly sought drug,3
6743,pill form,pill form,3
6744,initial stages,initial stages,3
6737,national surveys,national surveys,3
6930,27 eu countries,27 eu countries,3
6747,19 countries,19 countries,3
6928,pitfalls,pitfalls,3
6749,best scenario situation,best scenario situation,3
6927,production process,production process,3
6926,fda approval,fda approval,3
6751,welldeveloped plans,welldeveloped plans,3
6925,e. coli,e. coli,3
6924,higher volume,higher volume,3
6923,p. fluorescens,p. fluorescens,3
6929,chicken eggs.the committee,chicken eggs.the committee,3
6736,set,set,3
6944,annual output,annual output,3
6735,uk department,uk department,3
6968,informed consent,informed consent,3
6967,recipient,recipient,3
6966,april 17 2007 approval,april 17 2007 approval,3
6965,general ill feeling,general ill feeling,3
6964,injection site,injection site,3
6963,age groups,age groups,3
6727,following shortterm strategies,following shortterm strategies,3
6729,main ways,main ways,3
6730,good public health communication strategy,good public health communication strategy,3
6959,45 percent,45 percent,3
6958,better vaccines,better vaccines,3
6731,public concerns,public concerns,3
6957,interim measure,interim measure,3
6956,swiftwater,swiftwater,3
6955,sanofiaventis,sanofiaventis,3
6732,attitudes,attitudes,3
6952,problems,problems,3
6733,behaviour,behaviour,3
6949,marburg,location identifier q28791882 masculine plural 8 november 1919gregorian,3
6734,flu telephone survey template,influenza pandemic influenza virus subtype h1n1 pandemic infectious disease zoonosis influenza,3
6948,novartis cellbased vaccine production facility isin,business multinational corporation,3
7020,nutritional supplements herbal medicines,nutritional supplements herbal medicines,3
7198,announcement,announcement,3
6590,140 years,140 years,3
6588,large region,large region,3
6431,capsid virion,cellular component,3
6432,envelope,envelope,3
7424,patient reminders,patient reminders,3
7423,beliefs,beliefs,3
7422,chronic illness,chronic illness,3
7421,ethnicity,ethnicity,3
7420,gender,gender,3
7419,personal factors,personal factors,3
6434,nucleoprotein complex,group class proteins,3
6429,morphology,morphology,3
6435,polymerase complex,group class enzymes,3
6437,genome structure,scientific model natural environment,3
7417,risk groups,risk groups,3
6438,segments,segments,3
6439,linear negativesense,linear negativesense,3
6440,segment,segment,3
6441,separate nucleocapsid,separate nucleocapsid,3
6442,nucleocapsids,nucleocapsids,3
7411,sufficient antibodies,family protein complexes,3
7409,annual injection,annual injection,3
6436,500 surface projections,500 surface projections,3
7408,financial logistics burden,financial logistics burden,3
7425,leaflets,leaflets,3
7427,postcard reminders,postcard reminders,3
6413,expression,expression,3
7441,61.9%,61.9%,3
6414,essential gene,essential gene,3
7439,63.5%,63.5%,3
7438,united states healthcare workers,united states healthcare workers,3
6417,genomic segments,genomic segments,3
6418,undamaged copy,undamaged copy,3
6421,subtype list,subtype list,3
6422,following subtypes,following subtypes,3
7426,letters,letters,3
7437,2010 survey,2010 survey,3
6423,fi6 antibody,family protein complexes,3
7435,2009 pandemic low uptake,2009 pandemic low uptake,3
6424,fi6,fi6,3
7434,physician competition,physician competition,3
7433,physician reminders,physician reminders,3
7432,physician payment,physician payment,3
7431,free vaccinations,free vaccinations,3
6426,known antibody,family protein complexes,3
7428,client outreach programs,client outreach programs,3
7436,greece,greece,3
7444,direct patient contact,direct patient contact,3
7406,high herd immunity strategies,high herd immunity strategies,3
7400,secondary priority people,secondary priority people,3
7376,severe egg allergies,severe egg allergies,3
7375,egg allergies,egg allergies,3
6465,relatively short incubation period,relatively short incubation period,3
7374,eggbased techniques,eggbased techniques,3
6466,18–72 hours,18–72 hours,3
7373,egg allergy,egg allergy,3
7371,incidence,incidence,3
7370,guillain–barré,guillain–barré,3
7369,link,link,3
7377,anaphylaxis,anaphylaxis,3
7367,complication,complication,3
7362,soreness,soreness,3
6470,dry cough,dry cough,3
6471,rhinorrhea,rhinorrhea,3
6472,muscle pain,muscle pain,3
6473,achiness,achiness,3
7361,trivalent,trivalent,3
7360,successful fullterm pregnancy,physiological condition,3
7358,fluad tetra,fluad tetra,3
7357,fluad quadrivalent,fluad quadrivalent,3
7363,redness,redness,3
7401,chronic medical conditions,chronic medical conditions,3
6464,short durations,short durations,3
7380,nearly 800 children,nearly 800 children,3
6446,antigenic types,antigenic types,3
7399,age household contacts,age household contacts,3
7398,national advisory committee,national advisory committee,3
7397,moreexpensive singledose administration,moreexpensive singledose administration,3
7396,grounds,grounds,3
7392,mercurybased preservative,mercurybased preservative,3
7391,thiomersal,chemical compound excipient,3
7389,trigger,trigger,3
7388,hypocretin,hypocretin,3
6463,fomites,fomites,3
6450,amino acid composition,amino acid composition,3
6454,greater level,greater level,3
6456,single ancestor,single ancestor,3
7385,narcolepsy,narcolepsy,3
7384,increased incidence,increased incidence,3
6458,natural host,natural host,3
6460,animal reservoirs,taxon,3
6461,6 lineages,6 lineages,3
7382,zero systemic allergic reactions,zero systemic allergic reactions,3
7381,previous anaphylactic reactions,previous anaphylactic reactions,3
